id,title,title_norm,release_date,year,month_name,quarter,runtime,genres,budget,revenue,log_budget,log_revenue,roi,log_roi,vote_average,vote_count,log_votes,popularity,log_popularity,main_genre,release_season,netflix,hulu,prime_video,disney_plus,rt_score,channel
757237,ABANDONED part 2,abandoned part 2,2018-02-13,2018,February,1,0,,500.0,500.0,6.2166061010848646,6.2166061010848646,1.0,0.6931471805599453,0.0,0,0.0,0.6,0.4700036292457355,,Winter,0,0,0,0,,theatrical
757238,ABANDONED part 3,abandoned part 3,2018-03-01,2018,March,1,0,,500.0,500.0,6.2166061010848646,6.2166061010848646,1.0,0.6931471805599453,0.0,0,0.0,0.6,0.4700036292457355,,Spring,0,0,0,0,,theatrical
757239,ABANDONED part 4,abandoned part 4,2018-03-13,2018,March,1,0,,500.0,500.0,6.2166061010848646,6.2166061010848646,1.0,0.6931471805599453,0.0,0,0.0,0.6,0.4700036292457355,,Spring,0,0,0,0,,theatrical
757240,ABANDONED part 5,abandoned part 5,2018-04-05,2018,April,2,0,,500.0,500.0,6.2166061010848646,6.2166061010848646,1.0,0.6931471805599453,0.0,0,0.0,0.6,0.4700036292457355,,Spring,0,0,0,0,,theatrical
759138,Sangharsh,sangharsh,2018-12-10,2018,December,4,5,Music,500.0,300.0,6.2166061010848646,5.707110264748875,0.6,0.4700036292457355,0.0,0,0.0,0.6,0.4700036292457355,Music,Holiday,0,0,0,0,,theatrical
759144,Ruswayi,ruswayi,2018-09-09,2018,September,3,4,Music,800.0,1000.0,6.68586094706836,6.90875477931522,1.25,0.8109302162163288,0.0,0,0.0,0.6,0.4700036292457355,Music,Fall,0,0,0,0,,theatrical
759160,The Last Day,the last day,2018-08-14,2018,August,3,10,,250.0,300.0,5.5254529391317835,5.707110264748875,1.2,0.7884573603642702,0.0,0,0.0,0.6,0.4700036292457355,,Summer,0,0,0,0,,theatrical
758931,Music of the Roofs,music of the roofs,2021-02-11,2021,February,1,85,"Drama, Romance",,3736.0,,8.226038429485484,,,0.0,0,0.0,0.609,0.47561286801024616,Drama,Winter,0,0,0,0,,theatrical
759038,Nhan Duyen: Nguoi Yeu Tien Kiep,nhan duyen: nguoi yeu tien kiep,2019-10-04,2019,October,4,89,"Romance, Fantasy",,85762.0,,11.35934295703608,,,0.0,0,0.0,0.602,0.47125284864616745,Romance,Fall,0,0,0,0,,theatrical
754905,Coven,coven,2019-12-21,2019,December,4,14,Horror,,,,,,,0.0,0,0.0,0.6,0.4700036292457355,Horror,Holiday,1,0,0,0,58.0,streaming
756674,Konga TNT,konga tnt,2020-10-06,2020,October,4,73,"Horror, Science Fiction, Comedy",,,,,,,0.0,0,0.0,1.332,0.846726268488246,Horror,Fall,0,0,1,0,32.0,streaming
756818,Lazarus,lazarus,2020-09-14,2020,September,3,8,Drama,1000.0,,6.90875477931522,,,,0.0,0,0.0,0.6,0.4700036292457355,Drama,Fall,0,0,1,0,46.0,streaming
756125,Diamonds in the Sky,diamonds in the sky,2018-01-01,2018,January,1,112,Drama,,,,,,,0.0,0,0.0,0.6,0.4700036292457355,Drama,Winter,1,0,0,0,12.0,streaming
763033,Abigail,abigail,2020-03-09,2020,March,1,5,Animation,,,,,,,0.0,0,0.0,0.6,0.4700036292457355,Animation,Spring,0,0,1,0,56.0,streaming
